SampleID,testID,ParticleTypeDefinitionID,ParticleSubTypeCategoryID,Value
52043,180,16,3,1
52043,180,16,4,1
52043,180,16,5,3
52043,180,16,6,8
52043,180,16,7,7
52043,180,16,8,8
52067,240,3,1,1
52067,240,3,2,1
52067,240,3,3,1
52067,240,3,4,1
52067,240,3,5,2
52067,240,3,6,2
52067,240,3,7,2
52067,240,3,8,1
52067,240,10,1,1
52067,240,10,2,1
52067,240,10,3,1
52067,240,10,4,1
52067,240,10,5,2
52067,240,10,6,1
52067,240,10,7,2
52067,240,10,8,1
52067,240,11,1,1
52067,240,11,2,1
52067,240,11,3,1
52067,240,11,4,1
52067,240,11,5,4
52067,240,11,6,2
52067,240,11,7,2
52067,240,11,8,3
52067,240,16,1,1
52067,240,16,2,1
52067,240,16,3,1
52067,240,16,4,1
52067,240,16,5,5
52030,210,9,1,3
52030,210,9,2,1
52030,210,9,3,3
52030,210,9,4,1
52030,210,9,5,1
52030,210,9,6,2
52030,210,9,7,1
52030,210,9,8,1
52038,240,3,1,1
52038,240,3,2,1
52038,240,3,3,1
52038,240,3,4,1
52038,240,3,5,1
52038,240,3,6,2
52038,240,3,7,2
52038,240,3,8,1
52038,240,10,1,1
52038,240,10,2,1
52038,240,10,3,1
52038,240,10,4,1
52038,240,10,5,1
52038,240,10,6,1
52038,240,10,7,2
52038,240,10,8,1
52038,240,11,1,2
52038,240,11,2,1
52038,240,11,3,1
52038,240,11,4,1
52038,240,11,5,4
52038,240,11,6,6
52038,240,11,7,1
52038,240,11,8,3
52038,240,16,1,1
52038,240,16,2,1
52038,240,16,3,1
52038,240,16,4,1
52038,240,16,5,3
52038,240,16,6,8
52038,240,16,7,7
52038,240,16,8,8
52051,180,10,1,1
52051,180,10,2,1
52051,180,10,3,1
52051,180,10,4,1
52051,180,10,5,1
52051,180,10,6,1
52051,180,10,7,2
52051,180,10,8,1
52051,180,11,1,1
52051,180,11,2,1
52051,180,11,3,1
52051,180,11,4,1
52051,180,11,5,2
52051,180,11,6,4
52051,180,11,7,1
52051,180,11,8,1
52051,180,16,1,1
52051,180,16,2,1
52051,180,16,3,1
52051,180,16,4,1
52051,180,16,5,3
52051,180,16,6,1
52051,180,16,7,7
52051,180,16,8,8
52066,210,1,1,2
52066,210,1,2,1
52066,210,1,3,3
52066,210,1,4,1
52066,210,1,5,2
52066,210,1,6,4
52066,210,1,7,1
52066,210,1,8,1
52066,210,4,1,2
52066,210,4,2,7
52066,210,4,3,2
52066,210,4,4,1
52066,210,4,5,2
52066,210,4,6,2
52066,210,4,7,2
52066,210,4,8,1
52066,210,15,1,2
52066,210,15,2,1
52066,210,15,3,2
52066,210,15,4,2
52066,210,15,5,3
52066,210,15,6,8
52066,210,15,7,7
52066,210,15,8,8
52066,210,3,1,1
52066,210,3,2,1
52066,210,3,3,1
52066,210,3,4,1
52066,210,3,5,2
52066,210,3,6,2
52066,210,3,7,2
52066,210,3,8,1
52066,210,10,1,1
52066,210,10,2,1
52066,210,10,3,2
52066,210,10,4,1
52066,210,10,5,1
52066,210,10,6,1
52066,210,10,7,2
52066,210,10,8,1
52066,210,16,1,1
52066,210,16,2,1
52066,210,16,3,1
52066,210,16,4,1
52066,210,16,5,2
52066,210,16,6,8
52066,210,16,7,7
52066,210,16,8,8
52074,210,1,1,1
52074,210,1,2,1
52074,210,1,3,1
52074,210,1,4,1
52074,210,1,5,2
52074,210,1,6,4
52074,210,1,7,1
52074,210,1,8,1
52074,210,3,1,1
52074,210,3,2,1
52074,210,3,3,1
52074,210,3,4,1
52074,210,3,5,2
52074,210,3,6,2
52074,210,3,7,2
52074,210,3,8,1
52074,210,5,1,1
52074,210,5,2,1
52074,210,5,3,1
52074,210,5,4,1
52074,210,5,5,1
52074,210,5,6,4
52074,210,5,7,1
52074,210,5,8,1
52074,210,10,1,1
52074,210,10,2,1
52074,210,10,3,1
52074,210,10,4,1
52074,210,10,5,2
52074,210,10,6,1
52074,210,10,7,2
52074,210,10,8,1
52074,210,15,1,1
52074,210,15,2,1
52074,210,15,3,1
52074,210,15,4,1
52074,210,15,5,2
52074,210,15,6,8
52074,210,15,7,6
52074,210,15,8,8
52074,210,16,1,1
52074,210,16,2,1
52074,210,16,3,1
52074,210,16,4,1
52074,210,16,5,2
52074,210,16,6,1
52074,210,16,7,7
52074,210,16,8,8
52198,180,3,1,2
52198,180,3,2,1
52198,180,3,3,3
52198,180,3,4,1
52198,180,3,5,2
52198,180,3,6,2
52198,180,3,7,2
52198,180,3,8,1
52198,180,5,1,1
52198,180,5,2,1
52198,180,5,3,1
52198,180,5,4,1
52198,180,5,5,3
52198,180,5,6,4
52198,180,5,7,1
52198,180,5,8,1
52198,180,9,1,1
52198,180,9,2,1
52198,180,9,3,1
52198,180,9,4,1
52198,180,9,5,2
52198,180,9,6,1
52198,180,9,7,2
52198,180,9,8,3
52198,180,10,1,1
52198,180,10,2,1
52198,180,10,3,2
52198,180,10,4,1
52198,180,10,5,2
52198,180,10,6,1
52198,180,10,7,2
52198,180,10,8,1
52198,180,11,1,1
52198,180,11,2,1
52198,180,11,3,1
52198,180,11,4,1
52198,180,11,5,2
52198,180,11,6,1
52198,180,11,7,1
52198,180,11,8,3
52198,180,16,1,1
52198,180,16,2,1
52198,180,16,3,1
52198,180,16,4,1
52198,180,16,5,2
52198,180,16,6,8
52198,180,16,7,7
52198,180,16,8,8
52202,180,3,1,1
52202,180,3,2,1
52202,180,3,3,1
52202,180,3,4,1
52202,180,3,5,2
52202,180,3,6,2
52202,180,3,7,2
52202,180,3,8,1
52202,180,10,1,1
52202,180,10,2,1
52202,180,10,3,1
52202,180,10,4,1
52202,180,10,5,2
52202,180,10,6,1
52202,180,10,7,2
52202,180,10,8,1
52202,180,16,1,1
52202,180,16,2,1
52202,180,16,3,1
52202,180,16,4,1
52202,180,16,5,3
52202,180,16,6,8
52202,180,16,7,7
52202,180,16,8,8
52205,180,3,1,1
52205,180,3,2,1
52205,180,3,3,1
52205,180,3,4,1
52205,180,3,5,2
52205,180,3,6,2
52205,180,3,7,2
52205,180,3,8,1
52205,180,9,1,1
52205,180,9,2,1
52205,180,9,3,1
52205,180,9,4,1
52205,180,9,5,2
52205,180,9,6,1
52205,180,9,7,2
52205,180,9,8,3
52205,180,10,1,1
52205,180,10,2,1
52205,180,10,3,1
52205,180,10,4,1
52205,180,10,5,2
52205,180,10,6,1
52205,180,10,7,2
52205,180,10,8,1
52205,180,11,1,1
52205,180,11,2,1
52205,180,11,3,1
52205,180,11,4,1
52205,180,11,5,2
52205,180,11,6,4
52205,180,11,7,1
52205,180,11,8,3
52205,180,16,1,1
52205,180,16,2,1
52205,180,16,3,1
52205,180,16,4,1
52205,180,16,5,4
52205,180,16,6,2
52205,180,16,7,7
52205,180,16,8,8
52210,180,3,1,1
52210,180,3,2,1
52210,180,3,3,1
52210,180,3,4,1
52210,180,3,5,2
52210,180,3,6,2
52210,180,3,7,2
52210,180,3,8,1
52210,180,9,1,1
52210,180,9,2,1
52210,180,9,3,1
52210,180,9,4,1
52210,180,9,5,2
52067,240,16,6,8
52067,240,16,7,7
52067,240,16,8,8
52150,180,3,1,1
52150,180,3,2,1
52150,180,3,3,1
52150,180,3,4,1
52150,180,3,5,2
52150,180,3,6,2
52150,180,3,7,2
52150,180,3,8,1
52150,180,5,1,1
52150,180,5,2,1
52150,180,5,3,1
52150,180,5,4,1
52150,180,5,5,3
52150,180,5,6,4
52150,180,5,7,1
52150,180,5,8,1
52150,180,10,1,1
52150,180,10,2,1
52150,180,10,3,2
52150,180,10,4,1
52150,180,10,5,2
52150,180,10,6,1
52150,180,10,7,2
52150,180,10,8,1
52150,180,11,1,1
52150,180,11,2,1
52150,180,11,3,1
52150,180,11,4,1
52150,180,11,5,2
52150,180,11,6,4
52150,180,11,7,1
52150,180,11,8,8
52150,180,16,1,1
52150,180,16,2,1
52150,180,16,3,1
52150,180,16,4,1
52150,180,16,5,3
52150,180,16,6,8
52150,180,16,7,7
52150,180,16,8,8
52235,210,1,1,2
52235,210,1,2,1
52235,210,1,3,3
52235,210,1,4,1
52235,210,1,5,2
52235,210,1,6,4
52235,210,1,7,1
52235,210,1,8,1
52235,210,3,1,2
52235,210,3,2,1
52235,210,3,3,2
52235,210,3,4,1
52235,210,3,5,2
52235,210,3,6,2
52235,210,3,7,2
52235,210,3,8,1
52235,210,10,1,1
52235,210,10,2,1
52235,210,10,3,1
52235,210,10,4,1
52235,210,10,5,2
52235,210,10,6,1
52235,210,10,7,2
52235,210,10,8,1
52235,210,11,1,1
52235,210,11,2,1
52235,210,11,3,1
52235,210,11,4,1
52235,210,11,5,1
52235,210,11,6,4
52235,210,11,7,1
52235,210,11,8,1
52235,210,16,1,1
52235,210,16,2,1
52235,210,16,3,1
52235,210,16,4,1
52235,210,16,5,2
52235,210,16,6,8
52235,210,16,7,7
52235,210,16,8,8
52094,210,1,1,2
52094,210,1,2,1
52094,210,1,3,4
52094,210,1,4,1
52094,210,1,5,2
52094,210,1,6,4
52094,210,1,7,1
52094,210,1,8,1
52094,210,4,1,2
52094,210,4,2,1
52094,210,4,3,2
52094,210,4,4,1
52094,210,4,5,2
52094,210,4,6,2
52094,210,4,7,2
52094,210,4,8,1
52094,210,10,1,1
52094,210,10,2,1
52094,210,10,3,1
52094,210,10,4,1
52094,210,10,5,2
52094,210,10,6,1
52094,210,10,7,2
52094,210,10,8,1
52094,210,11,1,2
52094,210,11,2,1
52094,210,11,3,3
52094,210,11,4,1
52094,210,11,5,3
52094,210,11,6,6
52094,210,11,7,1
52094,210,11,8,3
52094,210,12,1,2
52094,210,12,2,1
52094,210,12,3,4
52094,210,12,4,1
52094,210,12,5,1
52094,210,12,6,8
52094,210,12,7,7
52094,210,12,8,8
52094,210,15,1,1
52094,210,15,2,1
52094,210,15,3,1
52094,210,15,4,1
52094,210,15,5,3
52094,210,15,6,2
52094,210,15,7,6
52094,210,15,8,8
52094,210,16,1,1
52094,210,16,2,1
52094,210,16,3,1
52094,210,16,4,1
52094,210,16,5,3
52094,210,16,6,2
52094,210,16,7,7
52094,210,16,8,8
52203,180,3,1,1
52203,180,3,2,1
52203,180,3,3,1
52203,180,3,4,1
52203,180,3,5,2
52203,180,3,6,2
52203,180,3,7,2
52203,180,3,8,1
52203,180,9,1,1
52203,180,9,2,1
52203,180,9,3,1
52203,180,9,4,1
52203,180,9,5,2
52203,180,9,6,8
52203,180,9,7,7
52203,180,9,8,8
52203,180,10,1,1
52203,180,10,2,1
52203,180,10,3,2
52203,180,10,4,1
52203,180,10,5,2
52203,180,10,6,1
