ID,area,type,remark
95,labr,NULL,OBVIOUS OIL SEPARATION
96,samp,NULL,BURNT/PUNGENT ODOR
186,labr,NULL,STIFFNESS EXCEEDS NLGI 3 REFERENCE
189,labr,NULL,STIFFNESS SIMILAR TO NLGI 2 REFERENCE
139,creq,NULL,20% MOVLL/80% NEBULA
140,creq,NULL,50% MOVLL/50% NEBULA
141,creq,NULL,KINECTRICS AGED 5 YR/70 MRAD
142,creq,NULL,KINECTRICS AGED 5 YR/70 MRAD/LOCA CAN
143,creq,NULL,KINECTRICS AGED 5 YR/70 MRAD/LOCA  VP
145,creq,NULL,KINECTRICS NEW MOVLL
146,creq,NULL,EPRI NEW MOVLL
173,labr,NULL,KF 20% NOT MET PER 37DP-9MP02
191,labr,NULL,STIFFNESS SIMILAR TO NLGI 1 REFERENCE
192,labr,NULL,STIFFNESS LESS THAN NLGI 1 REFERENCE
150,creq,NULL,EPRI SPECIAL POST SAMPLE  MOV LONG LIFE GR1 ROL ONLY  25 STROKES
190,labr,NULL,STIFFNESS LESS THAN NLGI 2 REFERENCE BUT GREATER THAN NLGI 1 REFERENCE
