employeeID,testStandID,testStand,qualificationLevel
06175,80,Flash Point,Q/QAG
06175,110,TBN by Auto Titration,Q/QAG
06175,120,Inspect Filter,Q/QAG
06175,140,Grease Dropping Point,Q/QAG
06175,160,Particle Count,Q/QAG
06175,170,RPVOT,Q/QAG
06175,180,Filter Residue,Q/QAG
06175,210,Ferrography,Q/QAG
06175,220,Rust,Q/QAG
06175,230,TFOUT,Q/QAG
06175,240,Debris Identification,MicrE
06175,250,Deleterious,Q/QAG
06175,270,Rheometer,Q/QAG
06175,286,Varnish Potential Rating,Q/QAG
02409,280,Misc. Tests,Q/QAG
02409,284,D-inch,Q/QAG
02409,285,Oil Content,Q/QAG
02409,286,Varnish Potential Rating,Q/QAG
99850,280,Misc. Tests,Q/QAG
56472,10,TAN by Color Indication,Q/QAG
56472,20,Water - KF,Q/QAG
56472,30,Emission Spectroscopy - Standard,Q/QAG
56472,40,Emission Spectroscopy - Large,Q/QAG
56472,50,Viscosity @ 40,Q/QAG
56472,60,Viscosity @ 100,Q/QAG
56472,70,FT-IR,Q/QAG
56472,80,Flash Point,Q/QAG
56472,110,TBN by Auto Titration,Q/QAG
56472,120,Inspect Filter,Q/QAG
56472,130,Grease Penetration Worked,Q/QAG
56472,140,Grease Dropping Point,Q/QAG
56472,160,Particle Count,Q/QAG
56472,170,RBOT,Q/QAG
56472,180,Filter Residue,Q/QAG
56472,210,Ferrography,Q/QAG
56472,220,Rust,Q/QAG
56472,230,TFOUT,Q/QAG
56472,240,Debris Identification,Q/QAG
56472,250,Deleterious,Q/QAG
56472,270,Rheometer,Q/QAG
56472,280,Misc. Tests,Q/QAG
56472,284,D-inch,Q/QAG
56472,285,Oil Content,Q/QAG
56472,286,Varnish Potential Rating,Q/QAG
09926,10,TAN by Color Indication,Q/QAG
09926,20,Water - KF,Q/QAG
09926,30,Emission Spectroscopy - Standard,Q/QAG
09926,40,Emission Spectroscopy - Large,Q/QAG
09926,50,Viscosity @ 40,Q/QAG
09926,60,Viscosity @ 100,Q/QAG
09926,70,FT-IR,Q/QAG
09926,80,Flash Point,Q/QAG
09926,110,TBN by Auto Titration,Q/QAG
09926,120,Inspect Filter,Q/QAG
09926,130,Grease Penetration Worked,Q/QAG
09926,140,Grease Dropping Point,Q/QAG
09926,160,Particle Count,Q/QAG
09926,170,RBOT,Q/QAG
09926,180,Filter Residue,Q/QAG
09926,210,Ferrography,Q/QAG
09926,220,Rust,Q/QAG
09926,230,TFOUT,Q/QAG
09926,240,Debris Identification,Q/QAG
09926,250,Deleterious,Q/QAG
09926,270,Rheometer,Q/QAG
09926,280,Misc. Tests,Q/QAG
09926,284,D-inch,Q/QAG
09926,285,Oil Content,Q/QAG
09926,286,Varnish Potential Rating,Q/QAG
14897,10,TAN by Color Indication,Q/QAG
14897,20,Water - KF,Q/QAG
14897,30,Emission Spectroscopy - Standard,Q/QAG
14897,40,Emission Spectroscopy - Large,Q/QAG
14897,50,Viscosity @ 40,Q/QAG
14897,60,Viscosity @ 100,Q/QAG
14897,70,FT-IR,Q/QAG
14897,80,Flash Point,Q/QAG
14897,110,TBN by Auto Titration,Q/QAG
14897,120,Inspect Filter,Q/QAG
14897,130,Grease Penetration Worked,Q/QAG
14897,140,Grease Dropping Point,Q/QAG
14897,160,Particle Count,Q/QAG
14897,170,RBOT,Q/QAG
14897,180,Filter Residue,Q/QAG
14897,210,Ferrography,Q/QAG
14897,220,Rust,Q/QAG
14897,230,TFOUT,Q/QAG
14897,240,Debris Identification,Q/QAG
14897,250,Deleterious,Q/QAG
14897,270,Rheometer,Q/QAG
14897,280,Misc. Tests,Q/QAG
14897,284,D-inch,Q/QAG
14897,285,Oil Content,Q/QAG
14897,286,Varnish Potential Rating,Q/QAG
07446,10,TAN by Color Indication,Q/QAG
07446,20,Water - KF,Q/QAG
07446,30,Emission Spectroscopy - Standard,Q/QAG
07446,40,Emission Spectroscopy - Large,Q/QAG
07446,50,Viscosity @ 40,Q/QAG
07446,60,Viscosity @ 100,Q/QAG
07446,70,FT-IR,Q/QAG
07446,80,Flash Point,Q/QAG
07446,110,TBN by Auto Titration,Q/QAG
07446,120,Inspect Filter,Q/QAG
07446,130,Grease Penetration Worked,Q/QAG
07446,140,Grease Dropping Point,Q/QAG
07446,160,Particle Count,Q/QAG
07446,170,RBOT,Q/QAG
07446,180,Filter Residue,Q/QAG
07446,210,Ferrography,Q/QAG
07446,220,Rust,Q/QAG
07446,230,TFOUT,Q/QAG
07446,240,Debris Identification,Q/QAG
07446,250,Deleterious,Q/QAG
07446,270,Rheometer,Q/QAG
07446,280,Misc. Tests,Q/QAG
07446,284,D-inch,Q/QAG
07446,285,Oil Content,Q/QAG
07446,286,Varnish Potential Rating,Q/QAG
18598,10,TAN by Color Indication,Q/QAG
18598,20,Water - KF,Q/QAG
18598,30,Emission Spectroscopy - Standard,Q/QAG
18598,40,Emission Spectroscopy - Large,Q/QAG
18598,50,Viscosity @ 40,Q/QAG
18598,60,Viscosity @ 100,Q/QAG
18598,70,FT-IR,Q/QAG
18598,80,Flash Point,Q/QAG
18598,110,TBN by Auto Titration,Q/QAG
18598,120,Inspect Filter,Q/QAG
18598,130,Grease Penetration Worked,Q/QAG
18598,140,Grease Dropping Point,Q/QAG
18598,160,Particle Count,Q/QAG
18598,170,RBOT,Q/QAG
18598,180,Filter Residue,Q/QAG
18598,210,Ferrography,Q/QAG
18598,220,Rust,Q/QAG
18598,230,TFOUT,Q/QAG
18598,240,Debris Identification,Q/QAG
18598,250,Deleterious,Q/QAG
18598,270,Rheometer,Q/QAG
18598,280,Misc. Tests,Q/QAG
18598,284,D-inch,Q/QAG
18598,285,Oil Content,Q/QAG
18598,286,Varnish Potential Rating,Q/QAG
