ID,testID,narrative,major,minor,trace
34921,180,"  ",20,28,21
34922,180,"METALLICS APPEAR TO BE COPPER ALLOY   ",20,22,21
34932,180,"  ",20,28,21
34933,180,"  ",20,28,21
34962,180,"  ",20,22,21
35045,180,"  ",20,22,21
35055,180,"  ",22,165,165
35057,180,"  ",20,165,21
35120,180,"  ",28,25,21
35121,180,"METALLICS BOTH WHITE METAL AND COPPER ALLOY SLIDING AND LAMINAR PARTICLES.  ",24,21,22
35123,180,"  ",20,28,21
35135,180,"  ",20,22,21
35136,180,"    ",24,28,21
35143,180,"  ",22,25,21
35154,180,"  ",20,28,21
35175,180,"  ",24,28,21
35176,180,"  ",22,25,21
35195,180,"  ",20,22,21
35207,180,"NO UNUSUAL CONTAMINANTS  ",24,22,165
35211,180,"  ",22,24,28
35223,240," METALLICS CONSISTING OF LAMINARS - SEVERE WEAR PARTICLES - CUTTING WEAR - SOME EVIDENCE OF POSSIBLE OVERHEATING ",36,32,33
35279,180,"  ",22,24,28
35280,180,"TYPICAL CONTAMINANTS NOT DETECTED DUE TO HEAVY OIL RESIDUE ON FILTER MEDIA   ",165,165,165
35306,180,"  ",20,28,21
35331,180,"  ",20,28,21
35343,180,"  ",20,28,21
35360,180,"  ",22,25,28
35361,180,"  ",22,24,21
35381,180,"  ",22,25,28
35382,180,"  ",24,23,28
35384,180,"  ",25,22,28
35385,180,"  ",22,24,28
35386,180,"  ",24,22,28
35387,180,"  ",22,24,28
35391,180,"  ",20,28,21
35392,180,"  ",20,165,21
35410,240,"SOME EVIDENCE OF POSSIBLE OVERHEATING - WEAR METALS BOTH COPPER ALLOY AND WHITE METAL. SOME CUTTING WEAR AND MOLY DETECTED. ",162,36,42
35413,240,"WEAR METALS BOTH COPPER ALLOY AND WHITE METAL. SOME CUTTING WEAR AND MOLY DETECTED -SOME EVIDENCE OF POSSIBLE OVERHEATING  ",162,41,36
35426,180,"METALLICS COPPER ALLOY - IMAGE TAKEN  ",24,22,21
35427,180,METALLICS COPPER ALLOY - IMAGE TAKEN,23,24,21
35438,180,"  ",22,24,28
35439,180,"  ",25,22,21
35440,240,METALLICS CONSISTING OF WHITE AND COPPER ALLOY PARTICLES - LAMINARS AND CUTTING WEAR,32,36,39
35442,240,"METALLICS CONSISTING OF WHITE AND COPPER ALLOY PARTICLES - LAMIMARS AND CUTTING WEAR - SOME EVIDENCE OF POSSIBLE OVERHEATING ",32,39,36
