eq_tag_num,lube_component_code,lube_location_code,lcde_id,sample_id,disposition,wr_num,comments,completed_date,enterID,reviewID,PDFFile
2MRCEP01B,002,003,"99-RC-12001 ",12001,0," ","Rust, cleanliness, filter patch and ferrography acceptable",1999-04-01 00:00:00.000,"0         ","0         ",NULL
1MIANC01A,003,006,"99-IA-11177 ",11177,0," "," ",1999-04-01 00:00:00.000,"0         ","0         ",NULL
2JCDNUV0214A,097,040,"99-CD-12070 ",12070,2,957522,wear metals also found in oil,1999-04-07 00:00:00.000,"0         ","0         ",NULL
2JCWNHV0012,097,040,"99-CW-12043 ",12043,0," "," ",1999-04-13 00:00:00.000,"0         ","0         ",NULL
2JNCNUV0099,097,040,"99-NC-12287 ",12287,2,958111,incorrect oil in service...crdr written,1999-04-21 00:00:00.000,"0         ","0         ",NULL
2MSIAP01,002,003,"99-SI-11223 ",11223,0," "," ",1900-01-01 00:00:00.000,"0         ","0         ",NULL
1MNCNP01A,002,001,"99-NC-12434 ",12434,0," "," ",1999-05-11 00:00:00.000,"0         ","0         ",NULL
3MSPAP01,002,003,"99-SP-12557 ",12557,0," "," ",1999-05-19 00:00:00.000,"0         ","0         ",NULL
2MSPBP01,002,004,"99-SP-12623 ",12623,0," "," ",1999-06-11 00:00:00.000,"0         ","0         ",NULL
2MPWNP01B,002,003,"99-PW-12579 ",12579,0," "," ",1999-06-15 00:00:00.000,"0         ","0         ",NULL
2MDGAH01,006,009,"99-DG-12685 ",12685,0," ",filter patch test high...engineer notified and recommendation is to monitor condition,1999-07-01 00:00:00.000,"0         ","0         ",NULL
3MZFNG01,054,047,"99-ZF-12840 ",12840,0," "," ",1999-07-14 00:00:00.000,"0         ","0         ",NULL
3MAFBP01,001,002,"99-AF-12901 ",12901,0," "," ",1999-08-03 00:00:00.000,"0         ","0         ",NULL
1MCDNP01C,002,003,"99-CD-12990 ",12990,0," "," ",1999-09-08 00:00:00.000,"0         ","0         ",NULL
2MWCNE01A,007,009,"99-WC-12864 ",12864,0," ",oil change listed in sims. monitor with next sample to see effect.  water slightly high. monitor with next sample,1999-09-15 00:00:00.000,"0         ","0         ",NULL
1MZFNG01,033,073,"99-ZF-12958 ",12958,0," "," ",1999-09-16 00:00:00.000,"0         ","0         ",NULL
2MARNP01B,001,001,"99-AR-13283 ",13283,0," "," ",1999-10-05 00:00:00.000,"0         ","0         ",NULL
1JCDNHV0199,097,040,"99-CD-13446 ",13446,0," "," ",1999-10-07 00:00:00.000,"0         ","0         ",NULL
1JCDNHV0029,097,040,"99-CD-13502 ",13502,0," ",ba not used...oil is sat,1999-10-21 00:00:00.000,"0         ","0         ",NULL
3MIANC02,003,115,"99-IA-13310 ",13310,0," "," ",1999-10-29 00:00:00.000,"0         ","0         ",NULL
3MCHBP01,001,007,"99-CH-13688 ",13688,0," "," ",1999-11-04 00:00:00.000,"0         ","0         ",NULL
1MDGBH01,006,009,"99-DG-13839 ",13839,0," ","second straight sample with filter residue at 2.0..trend, oil sat.",1999-12-21 00:00:00.000,"0         ","0         ",NULL
AMGTNK01A,004,009,"99-GT-13786 ",13786,1,969080,Particle count above criteria...resample,1999-12-22 00:00:00.000,"0         ","0         ",NULL
2MEDNP01A,002,003,"00-ED-14039 ",14039,0," "," ",2000-01-06 00:00:00.000,"0         ","0         ",NULL
1MTCNP01B,002,002,"00-TC-14124 ",14124,0," "," ",2000-01-25 00:00:00.000,"0         ","0         ",NULL
3MLONT02A,016,008,"00-LO-14394 ",14394,0," "," ",2000-03-03 00:00:00.000,"0         ","0         ",NULL
2MARNP01B,001,002,"00-AR-14604 ",14604,0," "," ",2000-03-15 00:00:00.000,"0         ","0         ",NULL
3MCHBP01,001,006,"00-CH-14176 ",14176,0," "," ",2000-03-15 00:00:00.000,"0         ","0         ",NULL
2MZFNG02,169,007,"00-ZF-14360 ",14360,0," "," ",2000-03-16 00:00:00.000,"0         ","0         ",NULL
1MSIAP03,002,003,"00-SI-14643 ",14643,0," "," ",2000-03-22 00:00:00.000,"0         ","0         ",NULL
3JCWNHV0009,097,040,"00-CW-14809 ",14809,0," "," ",2000-04-11 00:00:00.000,"0         ","0         ",NULL
3JFWNHV0073,097,040,"00-FW-14944 ",14944,0," ",Ba not used,2000-04-14 00:00:00.000,"0         ","0         ",NULL
3MCHBP01,001,007,"00-CH-14794 ",14794,0," "," ",2000-04-27 00:00:00.000,"0         ","0         ",NULL
