Site,Equipment,EquipName,EquipModel,EquipDesignator,EquipSN,MajorCommand,OperatingActivity,Port,SampDate,SampOrderSeq,SampNum,ProcDate,ProcTime,SoftwareVer,ReservoirCap,FilterRating,FluidType,WaterLimit,ISO4Limit,ISO6Limit,ISO14Limit,NASLimit,NAVAirLimit,CharnLimit,HALLimit,SAELimitGT4,SAELimitGT6,SAELimitGT14,SAELimitGT21,SAELimitGT38,SAELimitGT70,HrsMilesOilChange,HrsMilesOverhaul,OilAdded,OperatingHours,LNFNum,OperatorID,Notes,ConcentrationMult,MDiamCum5,MDiamCum10,MDiamCum15,MDiamCum20,MDiamCum25,MDiamCum50,MDiamCum100,MDiamMaxSize,MDiamMeanSize,MDiamStdDev,ISO4,ISO6,ISO14,NAS,NAVAIR,CHARN,HAL,SAE,CDiamCum4,CDiamCum5,CDiamCum6,CDiamCum10,CDiamCum14,CDiamCum15,CDiamCum20,CDiamCum21,CDiamCum25,CDiamCum38,CDiamCum50,CDiamCum70,CDiamCum100,WaterIndex,CutCum20,CutCum25,CutCum50,CutCum100,CutMaxSize,CutCntMean,CutCntStdDev,SlideCum20,SlideCum25,SlideCum50,SlideCum100,SlideMaxSize,SlideCntMean,SlideCntStdDev,FatCum20,FatCum25,FatCum50,FatCum100,FatMaxSize,FatCntMean,FatCntStdDev,OxideCum20,OxideCum25,OxideCum50,OxideCum100,OxideMaxSize,OxideCntMean,OxideCntStdDev,OtherCum20,OtherCum25,OtherCum50,OtherCum100,OtherMaxSize,OtherCntMean,OtherCntStdDev,Fibers,UserSize1,UserCnt1,UserSize2,UserCnt2,UserSize3,UserCnt3,UserSize4,UserCnt4,UserSize5,UserCnt5,UserSize6,UserCnt6,SAE4,SAE6,SAE14,SAE21,SAE38,SAE70,SAEmax,PctSoot,BSW,CFD,GOST,TotalFerrous,FerrousMaxDiam,FerrousMeanDiam,FerrousDiamStdev,Ferrous25,Ferrous38,Ferrous50,Ferrous100,FerrousStatus,SlidingLimit20,SlidingLimit25,SlidingLimit50,SlidingLimit100,SlidingLimitTotal,FatigueLimit20,FatigueLimit25,FatigueLimit50,FatigueLimit100,FatigueLimitTotal,CuttingLimit20,CuttingLimit25,CuttingLimit50,CuttingLimit100,CuttingLimitTotal,NonMetallicLimit20,NonMetallicLimit25,NonMetallicLimit50,NonMetallicLimit100,NonMetallicLimitTotal,SootLimit,GOSTLimit
Unknown,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,2018-02-21 00:00:00.000,11,55523,2018-02-21 00:00:00.000,13:22:43.0000000,6.0.,0,0,Hydraulic,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,1165,TEALD,NULL,NULL,7946.09,752.53,11.55,5.77,5.77,0,0,30,5.49,1.56,20,17,9,9,5,4400,17,10,7938.76,2750.85,745.21,13.85,4.62,4.62,4.62,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62,4.62,0,0,30.55,29.76,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,10,8,4,5,0,0,10,0,0,1.03,12,0,0,0,0,0,0,0,0,-2113658336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
Unknown,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,2018-02-21 00:00:00.000,12,55524,2018-02-21 00:00:00.000,13:28:59.0000000,6.0.,0,0,Hydraulic,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,1165,TEALD,NULL,NULL,40180.09,4653.55,59.65,19.24,7.7,0,0,28,5.6,1.65,23,19,12,11,NULL,15000,17,NULL,40134.62,14940.46,4608.07,64.63,21.54,18.47,3.08,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,0,0,0,22.77,22.77,0,7.69,3.08,0,0,28.91,24.02,2.94,6.16,3.08,0,0,28.8,25.06,2.6,0,0,0,0,0,0,0,0,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,NULL,11,6,5,0,0,NULL,0,0,5.28,12,0,0,0,0,0,0,0,0,-2113658336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
Unknown,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,2018-02-21 00:00:00.000,13,55524,2018-02-21 00:00:00.000,13:34:18.0000000,6.0.,0,0,Hydraulic,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,1165,TEALD,NULL,NULL,51575.66,7768.19,69.27,15.39,3.85,0,0,42,5.77,1.82,23,20,11,12,NULL,15000,17,NULL,51524.28,20912,7716.8,86.21,14.11,7.84,1.57,1.57,0,0,0,0,0,0,3.13,1.57,0,0,42.21,32.49,9.72,3.13,1.57,0,0,26.6,24.72,1.88,1.57,0,0,0,20.37,20.37,0,4.7,0,0,0,23.15,22.58,0.57,0,0,0,0,0,0,0,0,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,NULL,12,5,5,0,0,NULL,0,0,7.24,12,0,0,0,0,0,0,0,0,-2113658336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
Unknown,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,2018-02-21 00:00:00.000,14,55525,2018-02-21 00:00:00.000,13:42:36.0000000,6.0.,0,0,Hydraulic,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,1165,TEALD,NULL,NULL,10526.82,1955.74,65.42,17.32,9.62,7.7,1.92,178,6.03,2.61,21,18,11,10,NULL,6300,17,11,10481.41,4508.44,1910.33,70.81,13.85,12.31,9.24,7.7,7.7,4.62,1.54,0,0,0,0,0,0,0,0,0,0,4.62,1.54,1.54,1.54,178.78,74.19,73.96,0,0,0,0,0,0,0,7.7,4.62,3.08,0,61.9,41.93,16.86,1.54,1.54,1.54,0,50.45,50.45,0,0,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,11,10,5,7,9,0,11,0,0,2.47,13,0,0,0,0,0,0,0,0,-2113658336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
Unknown,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,2018-02-21 00:00:00.000,15,55532,2018-02-21 00:00:00.000,13:47:46.0000000,6.0.,0,0,Hydraulic,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,1165,TEALD,NULL,NULL,17712.49,2756.73,32.71,1.92,1.92,0,0,39,5.79,1.85,21,19,8,11,NULL,6300,17,12,17700.61,7250.43,2744.85,40.75,1.7,1.7,1.7,1.7,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,1.7,0,0,39.83,39.83,0.01,0,0,0,0,0,0,0,0,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,12,10,2,5,0,0,12,0,0,2.57,12,0,0,0,0,0,0,0,0,-2113658336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
Unknown,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,2018-02-21 00:00:00.000,16,55532,2018-02-21 00:00:00.000,13:53:01.0000000,6.0.,0,0,Hydraulic,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,1165,TEALD,NULL,NULL,27112.91,1838.2,30.8,1.92,0,0,0,20,5.35,1.29,22,18,8,10,NULL,15000,17,12,27111.18,8729.57,1836.46,47.16,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,0,0,0,20.37,20.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,12,10,2,0,0,0,12,0,0,3.16,12,0,0,0,0,0,0,0,0,-2113658336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
Unknown,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,2018-02-21 00:00:00.000,17,55533,2018-02-21 00:00:00.000,13:59:33.0000000,6.0.,0,0,Hydraulic,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,1165,TEALD,NULL,NULL,4975.1,1362.55,78.89,19.24,7.7,0,0,30,6.52,2.53,19,18,10,10,6,4400,17,10,4944.04,2493.64,1331.49,67.97,9.27,7.72,3.09,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,10.81,3.09,0,0,30.05,23.52,3.12,1.54,0,0,0,20.28,20.28,0,3.09,3.09,0,0,25.79,25.79,0,0,0,0,0,0,0,0,0,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,10,9,5,5,0,0,10,0,0,1.02,12,0,0,0,0,0,0,0,0,-2113658336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
Unknown,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,2018-02-21 00:00:00.000,19,55537,2018-02-21 00:00:00.000,14:18:50.0000000,6.0.,0,0,Hydraulic,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,1165,TEALD,NULL,NULL,30085.04,4.64,4.64,2.32,0,0,0,23,5,0.16,22,9,NULL,1,0,15000,17,12,30084.97,7524.67,4.57,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28,0,0,0,23.43,23.43,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,12,1,0,0,0,0,12,0,0,2.88,6,0,0,0,0,0,0,0,0,-2113658336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
Unknown,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,2018-02-22 00:00:00.000,0,55542,2018-02-22 00:00:00.000,11:57:45.0000000,6.0.,0,0,Hydraulic,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,1165,TEALD,NULL,NULL,41177.41,7696.61,177.02,32.71,13.47,0,0,37,5.96,2.06,23,20,13,12,NULL,15000,17,NULL,41175.4,17895.79,7694.61,210.31,47.8,40.15,13.38,13.38,5.74,0,0,0,0,0,5.74,0,0,0,23.3,21.92,1.2,3.82,0,0,0,24.33,23.21,1.12,13.38,5.74,0,0,30.55,25.83,3.93,9.56,7.65,0,0,37.78,31.99,4.56,0,0,0,0,0,0,0,0,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,NULL,12,7,8,0,0,NULL,0,0,6.69,12,0,0,0,0,0,0,0,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
Unknown,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,2018-02-22 00:00:00.000,1,55542,2018-02-22 00:00:00.000,12:22:27.0000000,6.0.,0,0,Hydraulic,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,1165,TEALD,NULL,NULL,7713.45,1792.05,292.48,132.77,84.66,3.85,0,66,6.58,3.3,20,18,14,10,NULL,100000,17,10,7626.19,3517.18,1704.79,258.73,130.14,110,51.13,48.03,24.79,1.55,1.55,0,0,0,15.49,6.2,0,0,32.05,24.97,3.95,13.94,10.84,1.55,0,66.15,31.79,13.4,26.34,13.94,0,0,29.85,24.79,2.68,48.03,35.63,1.55,0,63.12,30.85,8.94,3.1,1.55,0,0,40.74,32.02,8.72,0,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,10,10,8,9,7,0,10,0,0,3.07,13,0,0,0,0,0,0,0,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
