ID,testID,Na,Mo,Mg,P,B,H,Cr,Ca,Ni,Ag,Cu,Sn,Al,Mn,Pb,Fe,Si,Ba,Sb,Zn,trialDate,trialNum
50,40,5,0,0,0,0,9063,0,3,0,0,0,0,0,0,0,16,0,0,0,6,1993-10-08 00:00:00.000,1
51,30,0,0,0,0,0,12113,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1993-10-08 00:00:00.000,1
52,30,0,0,0,2,0,12769,0,1,0,0,0,1,0,1,1,1,1,0,0,4,1993-10-08 00:00:00.000,1
53,30,1,0,0,0,0,12511,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1993-10-08 00:00:00.000,1
53,40,3,1,0,0,0,9062,0,3,1,0,0,0,0,0,2,2,0,0,0,3,1993-10-08 00:00:00.000,1
54,30,0,1,0,89,0,12630,0,0,0,0,33,3,0,0,2,13,192,7,16,8,1993-10-08 00:00:00.000,1
54,40,6,2,2,0,0,9280,0,13,3,0,472,0,0,0,10,39,7,0,0,8,1993-10-08 00:00:00.000,1
55,30,1,0,0,0,0,12262,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1993-10-08 00:00:00.000,1
56,30,1,0,2,12,0,12931,0,2,0,1,1,1,0,0,0,0,1,0,0,5,1993-10-08 00:00:00.000,1
57,30,0,1,0,0,0,14336,0,0,0,0,0,1,1,1,2,1,0,0,0,0,1993-10-08 00:00:00.000,1
58,30,0,0,0,0,0,12285,0,0,0,0,0,0,0,0,2,0,0,0,0,12,1993-10-08 00:00:00.000,1
59,30,0,2,0,86,0,12354,0,0,0,0,3,1,0,1,0,12,2,6,13,2,1993-10-08 00:00:00.000,1
59,40,2,3,0,0,0,9496,0,3,1,0,14,0,0,0,0,48,0,0,0,1,1993-10-08 00:00:00.000,1
60,30,0,0,0,0,0,12228,0,0,0,0,4,0,0,0,0,2,0,0,0,1,1993-10-08 00:00:00.000,1
61,30,4,0,0,355,0,12353,0,77,0,0,0,0,0,0,0,1,1,0,0,522,1993-10-08 00:00:00.000,1
62,30,1,0,0,0,0,12595,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1993-10-08 00:00:00.000,1
63,30,1,0,0,0,0,11991,0,1,0,0,0,0,0,0,0,1,0,0,0,6,1993-10-08 00:00:00.000,1
65,30,1,0,0,0,0,12151,0,0,0,0,0,1,0,0,0,1,0,0,0,5,1993-10-08 00:00:00.000,1
66,30,1,0,0,0,0,12602,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1993-10-08 00:00:00.000,1
67,30,295,0,0,58863,0,13816,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1993-10-07 00:00:00.000,1
68,30,0,1,0,0,0,13631,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1993-10-04 00:00:00.000,1
69,30,1,0,0,7,0,12993,0,1,0,0,0,0,0,0,1,2,1,0,0,14,1993-10-04 00:00:00.000,1
70,30,0,0,0,0,0,13129,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1993-10-04 00:00:00.000,1
71,30,0,1,0,4,0,13717,0,0,0,0,0,1,1,0,2,0,0,0,0,2,1993-10-04 00:00:00.000,1
72,30,0,0,0,11,0,13657,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1993-10-04 00:00:00.000,1
73,30,307,0,0,57781,0,13845,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1993-10-07 00:00:00.000,1
74,30,0,0,0,4,0,13087,0,0,0,0,0,0,0,1,1,0,0,2,0,2,1993-10-04 00:00:00.000,1
75,30,284,0,0,60174,0,14126,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1993-10-07 00:00:00.000,1
76,30,294,0,0,59519,0,13506,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1993-10-07 00:00:00.000,1
77,30,291,0,0,60837,0,13792,0,0,0,0,0,0,0,0,0,0,0,7,0,2,1993-10-07 00:00:00.000,1
